name,active_from,active_to,career_length,birth_date,position,trad_position,ppg,trb,ast,fgp,per,ws,height_inches,weight,shooting_hand,hof,college,hs_name,hs_city,hs_state,url
Vince Taylor,1982,1983,1,1960-09-11,Shooting Guard,Guard,3.1,1.2,1.3,36.3,7.6,0.1,77.0,180.0,Right,0.0,Duke University,Tates Creek ,Lexington,Kentucky,/players/t/taylovi01.html
Terry Teagle,1982,1993,11,1960-04-10,Small Forward,Forward,11.6,2.6,1.4,46.5,13.7,13.4,77.0,195.0,Right,0.0,Baylor University,Broaddus ,Broaddus,Texas,/players/t/teaglte01.html
Jeff Teague,2009,2019,10,1988-06-10,Point Guard,Guard,12.7,2.5,5.8,44.5,17.1,48.3,74.0,195.0,Right,0.0,Wake Forest University,Pike ,Indianapolis,Indiana,/players/t/teaguje01.html
Marquis Teague,2012,2018,6,1993-02-28,Shooting Guard,Guard,2.4,1.0,1.5,34.3,4.9,-0.9,74.0,189.0,Right,0.0,University of Kentucky,Pike ,Indianapolis,Indiana,/players/t/teaguma01.html
Mirza Teletovic,2012,2018,6,1985-09-18,Small Forward,Forward,8.1,3.2,0.8,40.6,13.0,8.8,81.0,242.0,Right,0.0,,,,,/players/t/teletmi01.html
Sebastian Telfair,2004,2015,11,1985-06-09,Point Guard,Guard,7.4,1.6,3.5,39.0,10.8,5.0,72.0,165.0,Right,0.0,,Abraham Lincoln ,Brooklyn,New York,/players/t/telfase01.html
Collis Temple,1974,1975,1,1952-11-08,Small Forward,Forward,1.8,1.3,0.6,41.5,12.9,0.1,80.0,220.0,Right,0.0,Louisiana State University,,,,/players/t/templco01.html
Garrett Temple,2009,2019,10,1986-05-08,Shooting Guard,Guard,5.9,2.1,1.6,40.8,9.5,11.4,78.0,195.0,Right,0.0,Louisiana State University,Louisiana State University Laboratory School ,Baton Rouge,Louisiana,/players/t/templga01.html
Milos Teodosic,2017,2019,2,1987-03-19,Point Guard,Guard,8.0,2.4,4.0,42.0,11.0,1.3,77.0,196.0,Right,0.0,,,,,/players/t/teodomi01.html
Ira Terrell,1976,1979,3,1954-06-19,Small Forward,Forward,7.0,4.2,1.1,49.8,11.8,4.1,80.0,200.0,Right,0.0,Southern Methodist University,Roosevelt ,Dallas,Texas,/players/t/terreir01.html
Jared Terrell,2018,2019,1,1995-02-10,Shooting Guard,Guard,2.2,0.4,0.9,30.8,0.7,-0.3,75.0,227.0,Right,0.0,University of Rhode Island,Brewster Academy ,Wolfeboro,New Hampshire,/players/t/terreja01.html
Carlos Terry,1980,1983,3,1956-06-22,Shooting Guard,Guard,3.0,2.4,1.3,43.4,10.4,1.5,77.0,210.0,Right,0.0,Winston-Salem State University,Lexington ,Lexington,North Carolina,/players/t/terryca01.html
Chuck Terry,1972,1977,5,1950-09-27,Small Forward,Forward,3.8,2.4,0.8,41.9,8.5,6.4,78.0,215.0,Right,0.0,"California State University, Long Beach",,,,/players/t/terrych01.html
Claude Terry,1972,1978,6,1950-01-12,Small Forward,Forward,5.5,1.4,1.3,46.8,11.9,6.9,76.0,195.0,Right,0.0,Stanford University,,,,/players/t/terrycl01.html
Emanuel Terry,2018,2019,1,1996-08-21,Power Forward,Forward,3.3,2.3,0.7,57.1,19.7,0.1,81.0,220.0,Right,0.0,Lincoln Memorial University,Cleveland HS ,Cleveland,Alabama,/players/t/terryem01.html
Jason Terry,1999,2018,19,1977-09-15,Shooting Guard,Guard,13.4,2.3,3.8,44.4,16.2,102.0,74.0,185.0,Right,0.0,University of Arizona,Franklin ,Seattle,Washington,/players/t/terryja01.html
Hasheem Thabeet,2009,2014,5,1987-02-16,Center,Center,2.2,2.7,0.1,56.7,10.3,4.8,87.0,263.0,Right,0.0,University of Connecticut,,,,/players/t/thabeha01.html
Tom Thacker,1963,1971,8,1939-11-02,Point Guard,Guard,3.2,2.6,1.5,36.0,7.4,-0.3,74.0,170.0,Right,0.0,University of Cincinnati,William Grant ,Covington,Kentucky,/players/t/thackto01.html
Floyd Theard,1969,1970,1,1944-09-05,Point Guard,Guard,3.8,2.0,1.8,34.5,2.3,0.0,73.0,170.0,Right,0.0,Kentucky State University,,,,/players/t/thearfl01.html
Daniel Theis,2017,2019,2,1992-04-04,Center,Center,5.5,3.9,1.0,54.5,16.6,7.0,80.0,243.0,Right,0.0,,,,,/players/t/theisda01.html
Reggie Theus,1978,1991,13,1957-10-13,Point Guard,Guard,18.5,3.3,6.3,47.1,16.6,66.9,79.0,190.0,Right,0.0,"University of Nevada, Las Vegas",Inglewood ,Inglewood,California,/players/t/theusre01.html
Peter Thibeaux,1984,1986,2,1961-10-03,Small Forward,Forward,5.0,1.5,0.5,45.3,10.5,0.1,79.0,210.0,Right,0.0,Saint Mary's College of California,Skyline ,Oakland,California,/players/t/thibepe01.html
Bill Thieben,1956,1958,2,1935-03-28,Power Forward,Forward,4.0,3.2,0.3,33.1,10.1,-0.5,79.0,215.0,Right,0.0,Hofstra University,,,,/players/t/thiebbi01.html
Justus Thigpen,1969,1974,5,1947-08-13,Shooting Guard,Guard,2.7,0.8,0.5,36.7,5.1,-0.3,73.0,160.0,Right,0.0,Weber State University,Northern HS ,Flint,Michigan,/players/t/thigpju01.html
David Thirdkill,1982,1987,5,1960-04-12,Small Forward,Forward,2.8,1.2,0.5,45.7,8.0,1.3,79.0,195.0,Right,0.0,Bradley University,Soldan ,St. Louis,Missouri,/players/t/thirdda01.html
Adonis Thomas,2013,2014,1,1993-03-25,Small Forward,Forward,2.3,0.5,0.5,42.9,7.3,0.0,79.0,200.0,Right,0.0,University of Memphis,Melrose ,Memphis,Tennessee,/players/t/thomaad01.html
Billy Thomas,2004,2008,4,1975-12-23,Small Forward,Forward,2.7,1.0,0.5,33.8,7.8,0.4,76.0,208.0,Right,0.0,University of Kansas,Loyola College Preparatory School ,Shreveport,Louisiana,/players/t/thomabi01.html
