name,career_length,ppg,trb,ast,per,ws,hof_pred_log,hof_pred_log_proba
Sean Kilpatrick,4,10.3,2.7,1.5,13.2,2.6,0,0.006290368163888639
Jerian Grant,4,6.1,1.9,2.9,12.6,8.3,0,0.006271063025996635
Milton Doyle,1,3.4,1.8,1.0,5.2,-0.1,0,0.006189711818618519
Zach Lofton,1,0.0,0.0,0.0,-10.0,0.0,0,0.006181951098599645
Stanley Johnson,4,7.0,3.4,1.5,8.6,3.3,0,0.006173217477876828
Sterling Brown,2,5.3,2.9,1.0,10.1,2.8,0,0.006151810630800496
Jakob Poeltl,3,5.4,4.5,0.8,17.2,12.3,0,0.0061263693825554895
Daniel Theis,2,5.5,3.9,1.0,16.6,7.0,0,0.006085370026836132
Drew Gooden,14,11.0,7.1,1.1,16.3,43.9,0,0.006081918849900681
Ramon Sessions,11,10.3,2.7,4.1,15.9,28.8,0,0.006062018068819344
Anderson Varejao,13,7.3,7.2,1.2,15.6,46.4,0,0.00600183836994196
Erik McCree,1,0.0,0.3,0.0,-8.9,-0.1,0,0.005927646964614591
Terrance Ferguson,2,5.2,1.4,0.7,6.7,4.0,0,0.005918735613534987
Richaun Holmes,4,7.7,4.4,0.9,18.5,12.4,0,0.0058912041296178596
Damion Lee,2,6.8,2.9,0.9,12.0,1.1,0,0.00587369410705165
Jaron Blossomgame,1,4.2,3.6,0.5,10.2,0.3,0,0.005859070119676025
Luke Kornet,2,6.9,3.0,1.2,14.4,1.9,0,0.00581126690685582
Quinn Cook,3,7.4,2.0,1.9,12.9,3.5,0,0.005792645462554182
Jawun Evans,2,4.2,1.7,2.0,6.7,-0.4,0,0.005786995966444419
P.J. Hairston,2,6.0,2.4,0.5,7.6,0.9,0,0.005783220242211583
Skal Labissiere,3,7.6,4.3,1.0,14.9,3.0,0,0.005773903966740642
Trevor Booker,8,6.9,5.5,1.1,15.0,26.2,0,0.0057723002047475975
Daryl Macon,1,3.6,1.5,0.9,5.5,0.0,0,0.005737803117491553
Terrence Jones,7,10.4,5.7,1.0,17.1,14.7,0,0.005726301884117617
Marcelo Huertas,2,3.9,1.5,3.1,10.1,-0.2,0,0.0057123518315519515
Andrea Bargnani,10,14.3,4.6,1.2,14.4,18.9,0,0.005688917632110147
Dragan Bender,3,5.3,3.8,1.2,7.4,0.2,0,0.005658699293135421
Yuta Watanabe,1,2.6,2.1,0.5,3.3,-0.2,0,0.005625386144027767
Marcus Thornton,8,11.9,2.8,1.4,15.5,20.0,0,0.00561715561639821
Ray McCallum,3,6.0,2.0,2.4,11.0,2.1,0,0.005598845544456004
Tim Frazier,5,5.2,2.4,4.1,12.0,6.6,0,0.00557992732628588
Tyrone Wallace,2,5.5,2.2,1.2,8.8,0.5,0,0.005577864707137942
Jamal Crawford,19,14.6,2.2,3.4,15.1,60.6,0,0.0055725906199068495
Paul Zipser,2,4.7,2.6,0.8,6.1,0.0,0,0.005565394422230157
Josh Magette,1,2.6,1.1,3.2,11.9,0.4,0,0.005554530135070024
Dewayne Dedmon,6,6.5,6.0,0.7,15.4,17.5,0,0.005541178870651316
Dairis Bertans,1,2.8,0.8,0.8,2.0,-0.2,0,0.005539192154763493
Wesley Iwundu,2,4.4,2.5,1.0,8.3,2.5,0,0.005483823298957607
Grayson Allen,1,5.6,0.6,0.7,7.5,0.0,0,0.005448283037648125
Davis Bertans,3,6.2,2.3,1.0,13.3,9.3,0,0.005442753071759423
Keith Appling,1,1.2,0.2,0.2,-4.8,-0.1,0,0.005430244782294742
Matthew Dellavedova,6,6.0,1.9,3.7,10.0,9.9,0,0.005363327905680753
Wayne Selden,3,7.3,2.0,1.5,9.2,0.1,0,0.005330598243343271
James Webb,1,1.6,2.4,0.4,2.2,-0.1,0,0.005324764912399592
Ivan Rabb,2,5.7,4.3,1.0,16.3,3.2,0,0.005296302796117498
Nigel Hayes,1,3.0,2.4,0.7,6.4,-0.1,0,0.005295519955439587
Bonzie Colson,1,4.9,3.8,0.4,12.9,0.2,0,0.005277207080557479
Kadeem Allen,2,5.6,1.7,2.4,13.4,0.9,0,0.005273332411807669
Pierre Jackson,1,4.4,1.1,2.4,13.0,0.0,0,0.005252966428720101
Jared Terrell,1,2.2,0.4,0.9,0.7,-0.3,0,0.005245259498712497
Isaac Humphries,1,3.0,2.2,0.0,3.4,-0.1,0,0.005233538069656889
J.P. Macura,1,3.0,1.5,1.0,5.7,0.0,0,0.005212448487431819
Shake Milton,1,4.4,1.8,0.9,9.3,0.3,0,0.005200606695515313
Antonio Blakeney,2,7.5,1.8,0.8,10.5,-0.6,0,0.005189795478424974
Amir Johnson,14,7.0,5.4,1.2,15.8,55.3,0,0.005163659836493433
Shawn Long,1,8.2,4.7,0.7,24.1,0.9,0,0.005145831056866112
J.R. Smith,15,12.5,3.2,2.1,14.0,46.4,0,0.005117527869503112
Henry Sims,4,7.6,5.0,1.0,15.0,4.6,0,0.0051167293033701974
Tyus Jones,4,5.1,1.5,3.3,13.5,8.4,0,0.005102762660127752
Mike Tobey,1,1.0,1.5,0.5,-0.1,0.0,0,0.005041887802145039
Brandon Sampson,1,5.1,1.1,0.7,8.5,0.0,0,0.005038597910955789
Cory Joseph,8,6.9,2.6,2.8,12.5,21.8,0,0.005022002289197821
DeMarre Carroll,10,9.1,4.3,1.3,13.4,29.3,0,0.004982720147063096
Kostas Papanikolaou,2,3.6,2.3,1.5,7.3,0.3,0,0.004955446699985023
Dwayne Bacon,2,5.1,2.2,0.9,8.8,1.1,0,0.004901536210424194
Moritz Wagner,1,4.8,2.0,0.6,10.1,0.2,0,0.004891056500091507
John Henson,7,7.8,5.4,1.1,17.1,19.3,0,0.00483717352932851
Lance Stephenson,9,8.6,4.2,2.9,12.1,16.7,0,0.004804317896348244
Cameron Reynolds,1,5.0,1.6,0.7,10.4,0.4,0,0.004782474537219708
Ivica Zubac,3,6.9,4.6,0.8,17.6,5.3,0,0.00473259268976729
D.J. Wilson,2,4.3,3.3,0.8,10.3,1.8,0,0.004728421988773566
Charles Cooke,1,0.5,0.2,0.1,-5.1,-0.2,0,0.004697295936532541
Julian Washburn,1,2.2,2.3,0.8,6.5,0.1,0,0.004649419461328711
Ante Zizic,2,6.4,4.2,0.6,17.5,3.0,0,0.004593832659159701
Andre Roberson,5,4.6,4.0,0.9,9.8,12.7,0,0.004571354015102561
Avery Bradley,9,12.0,3.0,1.8,11.2,14.6,0,0.004546269711540772
Jared Dudley,12,7.7,3.3,1.6,12.7,42.1,0,0.004520740388034828
Jonathan Gibson,2,6.7,1.2,1.4,11.8,0.0,0,0.004507313104468311
Nicolas Laprovittola,1,3.3,0.6,1.6,8.4,0.2,0,0.004490064405156781
Pablo Prigioni,4,3.5,1.9,2.8,12.3,10.4,0,0.00448794226317894
Brandon Bass,12,8.7,4.5,0.8,15.3,42.8,0,0.004483553908081441
Sviatoslav Mykhailiuk,1,3.2,0.9,0.9,6.0,-0.1,0,0.004476703867011324
Diamond Stone,1,1.4,0.9,0.0,-1.2,-0.1,0,0.004446509451088578
Patrick Patterson,9,6.9,4.1,1.1,12.6,28.7,0,0.004429572654656972
James Ennis,5,6.5,3.2,0.9,11.5,11.7,0,0.004426235640493555
Joe Chealey,1,2.0,0.0,1.0,2.0,0.0,0,0.004395609536880864
Mario Hezonja,4,7.3,3.0,1.3,10.7,2.4,0,0.004383162721719723
Isaiah Hicks,2,4.4,2.3,0.9,8.0,0.1,0,0.0043684773148232135
Spencer Hawes,10,8.7,5.7,1.9,14.0,22.6,0,0.0043203880786055705
Maurice Harkless,7,7.3,3.7,0.9,12.5,19.2,0,0.00431793033071396
Doug McDermott,5,7.8,2.1,0.8,10.7,10.6,0,0.004303239650074107
Norman Powell,4,7.1,2.1,1.2,12.4,7.3,0,0.004227405082218317
Mindaugas Kuzminskas,2,6.2,1.8,1.0,12.3,1.1,0,0.004224659183017341
Nate Robinson,11,11.0,2.3,3.0,15.6,27.8,0,0.004208161411132862
Cleanthony Early,2,4.3,2.2,0.8,7.2,-0.6,0,0.0041350063715290064
Ben Moore,1,0.0,0.5,0.5,-2.3,0.0,0,0.004131810559244366
Austin Rivers,7,9.2,2.0,2.4,10.2,9.1,0,0.004107293723245266
Jerome Robinson,1,3.4,1.2,0.6,7.2,0.1,0,0.004088482285107724
Malik Beasley,3,7.2,1.7,0.8,13.0,5.0,0,0.004039960053283828
Jarrod Uthoff,1,4.4,2.4,1.0,13.9,0.2,0,0.004039292940856926
Timothe Luwawu-Cabarrot,3,5.7,1.9,0.9,7.9,1.8,0,0.0040387318464275975
Alec Peters,1,4.1,1.9,0.6,10.7,0.3,0,0.004021164492587046
Jaylen Morris,2,3.8,2.1,1.1,7.8,-0.1,0,0.004016915520559179
Matt Williams,1,1.7,0.3,0.0,-0.7,0.0,0,0.0040118871989176874
Jordan Bell,2,3.9,3.1,1.4,15.5,4.5,0,0.003998468591131917
Jordan Crawford,8,12.2,2.5,3.1,14.1,6.3,0,0.00398432354016344
Gary Trent,1,2.7,0.7,0.3,3.6,-0.2,0,0.003924471463438808
Gary Clark,1,2.9,2.3,0.4,9.2,1.0,0,0.003920736340168407
Juan Hernangomez,3,5.1,3.2,0.6,11.7,5.1,0,0.003918250172081967
Noah Vonleh,5,5.1,5.4,0.8,11.8,8.3,0,0.0039057112941880486
Omer Asik,8,5.3,7.1,0.6,13.4,20.9,0,0.00389169019085489
Kent Bazemore,7,8.7,3.1,1.9,12.2,11.0,0,0.0038421139912691374
Tibor Pleiss,1,2.0,1.3,0.2,3.5,-0.1,0,0.003827902606631806
Furkan Korkmaz,2,4.9,1.9,0.9,10.6,1.1,0,0.0037958827427140678
Michael Gbinije,1,0.4,0.3,0.2,-2.1,-0.1,0,0.0037727849438380897
Deng Adel,1,1.7,1.0,0.3,2.7,-0.2,0,0.003745363367864177
Ryan Kelly,4,6.0,3.1,1.3,10.5,3.0,0,0.003736050423257136
Cameron Payne,4,6.0,1.8,2.5,11.4,2.2,0,0.0037154751308464415
Kostas Antetokounmpo,1,1.0,0.5,0.0,-0.9,-0.1,0,0.0037043646011618854
Jacob Evans,1,1.3,0.8,0.8,3.5,-0.1,0,0.0037017945125748576
Hamidou Diallo,1,3.7,1.9,0.3,10.1,0.8,0,0.0036950846344967845
Elijah Millsap,3,4.2,2.8,1.1,7.4,0.4,0,0.003689232309709297
Alfonzo McKinnie,2,4.2,3.0,0.4,11.1,2.2,0,0.0036723808842153267
Derrick Jones,3,5.8,3.2,0.5,13.0,4.4,0,0.003659035212853567
Derrick Williams,7,8.9,4.0,0.7,13.4,14.1,0,0.0036545380538902795
Ryan Broekhoff,1,4.0,1.5,0.5,10.7,0.8,0,0.0036520076392787984
Bismack Biyombo,8,4.9,6.3,0.5,12.8,22.9,0,0.0036305216086368252
Duncan Robinson,1,3.3,1.3,0.3,7.6,0.2,0,0.0036068839430665675
Jacob Pullen,1,0.7,0.0,0.0,-2.3,0.0,0,0.003599830454948039
Khem Birch,2,4.5,4.0,0.8,17.9,4.6,0,0.0035989236078742943
Lamar Patterson,2,2.3,1.4,1.1,4.4,0.1,0,0.0035931960728865305
